Profesion
Desarrollador de software java
Desarrollador de software python
Consultor de ciberseguridad
Profesora
Carnicero
Analista de datos
Consultor SAP ABAP
Consejero de educacion
Herrero
Fontanero
Politico
Ingeniero aeronautico
Diseñador de interiores
auxiliar de enfermeria
Desarrollador de software java junior
Deasarrollador pithon
Desarrollador de software Java Senior
Director de Marketing
Desarrollador de software java junior con buen nivel de ingles y experiencia en bases de datos y cloud
Data analyst intern for researching investigation
profesor
profesor
Socorrista
